Question id,The Question,Answer,Diagram link,Correct answers,Gold standard answers,Answers given,Precision,Recall,F-measure,Avg Precision,Avg Recall,Avg F-measure,,,Percentage,Total number of questions,Total number of diagrams
33,In which city did Nikos Kazantzakis die?,Freiburg im Breisgau,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F33_-_kolchin,1,1,1,1,1,1,1,1,1,,,,,
,,Freiburg im Breisgau,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2Fnk,1,1,1,1,1,1,,,,,,,,
,,Freiburg im Breisgau,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F33_kazantzakisDeath,1,1,1,1,1,1,,,,,,,,
,,Freiburg im Breisgau,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F132,1,1,1,1,1,1,,,,,,,,
1,Who was the doctoral supervisor of Albert Einstein?,Alfred Kleiner,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F1_-_kolchin,1,1,1,1,1,1,0.75,0.75,0.75,,,,,
,,Alfred Kleiner,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2Fak,1,1,1,1,1,1,,,,,,,,
,,Alfred Kleiner,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F1,1,1,1,1,1,1,,,,,,,,
,,"Ernst Straus, Heinrich Friedrich Weber",https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F1_einstein_supervisor,0,1,2,0,0,0,,,,,,,,
34,How many grand-children did Jacques Cousteau have?,4,https://wikidata.metaphacts.com/resource/wd:Q83233,4,4,4,1,1,1,0.95,1,0.9722222222,,,,,
,,4,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F34_diagram,4,4,4,1,1,1,,,,,,,,
,,5,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F34_How_many_grand-children_did_Jacques_Cousteau_have,4,4,5,0.8,1,0.8888888889,,,,,,,,
,,4,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2Fcousteau-grandkids,4,4,4,1,1,1,,,,,,,,
37,How many seats does the home stadium of FC Porto have?,50431,https://wikidata.metaphacts.com/resource/wd:Q36433,1,1,1,1,1,1,0.25,0.25,0.25,,,,,
,,,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F37_diagram,0,1,0,0,0,0,,,,,,,,
,,-,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F37_How_many_seats_does_the_home_stadium_of_FC_Porto_have%3F,0,1,0,0,0,0,,,,,,,,
,,NA,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2Fporto,0,1,1,0,0,0,,,,,,,,
90,Show me Hemingway's autobiography.,http://www.wikidata.org/entity/Q5711820,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2Fnr3,0,1,1,0,0,0,0,0,0,,,,,
,,,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F90_diagram,0,1,66,0,0,0,,,,,,,,
,,-,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F90_Show_me_Hemingway%27s_autobiography.,0,1,0,0,0,0,,,,,,,,
,,NA,NA,0,1,0,0,0,0,,,,,,,,
68,Who wrote the Game of Thrones theme?,Ramin Djawadi,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2Fn4,1,1,1,1,1,1,0.5,0.5,0.5,,,,,
,,Ramin Djawadi,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F68_diagram,1,1,1,1,1,1,,,,,,,,
,,-,-,0,1,0,0,0,0,,,,,,,,
,,G. R. R. Martin,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2Fgame_of_thrones,0,1,1,0,0,0,,,,,,,,
30,What country is Sitecore from?,Denmark,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2Fn5,1,1,1,1,1,1,1,1,1,,,,,
,,Denmark,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F30_digram,1,1,1,1,1,1,,,,,,,,
,,Denmark,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F30_What_country_is_Sitecore_from,1,1,1,1,1,1,,,,,,,,
,,Denmark,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2Fsitecore,1,1,1,1,1,1,,,,,,,,
44,What is the full name of Prince Charles?,"PRINCE OF WALES | PRINCE CHARLES | CHARLES MOUNTBATTEN-WINDSOR | CHARLES PHILIP ARTHUR GEORGE | CHARLES PHILIP ARTHUR GEORGE MOUNTBATTEN-WINDSOR | CHARLES WALES | CHARLES WINDSOR | HRH PRINCE CHARLES, THE PRINCE OF WALES | HRH THE PRINCE OF WALES | HRH THE PRINCE OF WALES | PRINCE CHARLES, THE PRINCE OF WALES | PRINCE OF WALES AND DUKE OF ROTHESAY CHARLES PHILIP ARTHUR GEORGE | PRINCE OF WALES CHARLES | THE DUKE OF CORNWALL | THE DUKE OF ROTHESAY",https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2Fn6,1,1,1,1,1,1,0.75,0.75,0.75,,,,,
,,Charles II de Croÿ,https://wikidata.metaphacts.com/resource/wd:Q4723,0,1,1,0,0,0,,,,,,,,
,,-,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F44_What_is_the_full_name_of_Prince_Charles,1,1,1,1,1,1,,,,,,,,
,,Charles Philip Arthur George Mountbatten-Windsor,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2Fcharles,1,1,1,1,1,1,,,,,,,,
35,Which films did Stanley Kubrick direct?,(all films are listed),https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2Fn9,16,16,16,1,1,1,1,1,1,,,,,
,,16 movies,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F35_diagram,16,16,16,1,1,1,,,,,,,,
,,16 films via the link,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F35_Which_films_did_Stanley_Kubrick_direct,16,16,16,1,1,1,,,,,,,,
,,Some 16 films,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2Fkubrick,16,16,16,1,1,1,,,,,,,,
40,In which city are the headquarters of the United Nations?,New York City,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2Fn10,1,1,1,1,1,1,1,1,1,,,,,
,,New York City,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F40_diagram,1,1,1,1,1,1,,,,,,,,
,,NYC,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F40_In_which_city_are_the_headquarters_of_the_United_Nations%3F,1,1,1,1,1,1,,,,,,,,
,,NYC,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2FUN,1,1,1,1,1,1,,,,,,,,
23,Who created Family Guy?,Seth MacFarlane,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2Fnr11,1,1,1,1,1,1,1,1,1,,,,,
,,Seth MacFarlane,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F23_diagram,1,1,1,1,1,1,,,,,,,,
,,Seth MacFarlane,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F23_Who_created_Family_Guy%3F,1,1,1,1,1,1,,,,,,,,
,,Seth MacFarlane,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2Fpeter-this-is-ridiculous,1,1,1,1,1,1,,,,,,,,
50,How many moons does Mars have?,"Phobos, Deimos",https://wikidata.metaphacts.com/resource/wd:Q111,2,2,2,1,1,1,1,1,1,,,,,
,,2,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2FVW_Diagram_QId50,2,2,2,1,1,1,,,,,,,,
,,"Phobos, Deimos",https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F50,2,2,2,1,1,1,,,,,,,,
,,2,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F50-mars-moons,2,2,2,1,1,1,,,,,,,,
64,How much did the Lego Movie cost?,,,0,1,0,0,0,0,0.25,0.25,0.25,,,,,
,,unkown,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2FVW_QID64,0,1,1,0,0,0,,,,,,,,
,,60000000,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F64LegoMovieCost,1,1,1,1,1,1,,,,,,,,
,,unknown,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F64-lego-movie-cost-unknown,0,1,0,0,0,0,,,,,,,,
98,In what city is the Heineken brewery?,Amsterdam,https://wikidata.metaphacts.com/resource/wd:Q180855,1,1,1,1,1,1,1,1,1,,,,,
,,Amsterdam,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2FVW_QID_98,1,1,1,1,1,1,,,,,,,,
,,Amsterdam,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F98Heineken,1,1,1,1,1,1,,,,,,,,
,,Amsterdam,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F98-heineken-brewery,1,1,1,1,1,1,,,,,,,,
4,Who was on the Apollo 11 mission?,"Neil Armstrong, Edwin Aldrin Jr., Michael Collins",https://wikidata.metaphacts.com/resource/wd:Q43653,3,3,3,1,1,1,1,1,1,,,,,
,,"Collins, Aldrin Jr. and Amstrong",https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2FVW_QID_4,3,3,3,1,1,1,,,,,,,,
,,"Neil Armstrong, Edwin Aldrin Jr., Michael Collins",https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F4Apollo11,3,3,3,1,1,1,,,,,,,,
,,"N. Armstrong, E. Aldrin Jr., M. Collins",https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F4-apollo-mission,3,3,3,1,1,1,,,,,,,,
65,What was the original occupation of the inventor of Lego?,"entrepreneur, carpenter, joiner",https://wikidata.metaphacts.com/resource/wd:Q364571,3,3,3,1,1,1,1,0.5833333333,0.7,,,,,
,,Carpenter,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2FVW_QID_65,1,3,1,1,0.3333333333,0.5,,,,,,,,
,,carpenter,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F65occupationInventorOfLego,1,3,1,1,0.3333333333,0.5,,,,,,,,
,,joiner,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F65-lego-inventor-occupation,2,3,2,1,0.6666666667,0.8,,,,,,,,
83,What movies does Jesse Eisenberg play in?,"To Rome with Love, The Social Network, Zombieland, 30 Minutes or Less, The Emperor's Club, Adventureland, The Village, Now You See Me, Get Real,Camp Hope, Cursed,The Squid and the Whale,The Hunting Party,Roger Dodger,Solitary Man,Free Samples,
 Holy Rollers,The Education of Charlie Banks,Rio 2, The Double, The Living Wake, Night Moves, 
 Why Stop Now, Batman v Superman: Dawn of Justice, American Ultra, Louder Than Bombs, 
 Now You See Me: The Second Act, Justice League, Café Society",https://wikidata.metaphacts.com/resource/wd:Q219512,29,29,29,1,1,1,1,1,1,,,,,
,,"a lot , see diagram",https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2FVW_QID_83,29,29,29,1,1,1,,,,,,,,
,,"To Rome with Love, The Social Network, Zombieland etc.",https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F83JesseEisenberg,29,29,29,1,1,1,,,,,,,,
,,30 different movies,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F83-jesse-eisenberg-casting,29,29,29,1,1,1,,,,,,,,
55,In which countries do people speak Japanese?,not clear for me,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2FVW_QID_55,1,1,1,1,1,1,0.875,1,0.9166666667,,,,,
,,"Japan, Republic of Knozo",https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F55-japanese-language-official,1,1,2,0.5,1,0.6666666667,,,,,,,,
,,,,0,1,0,0,0,0,,,,,,,,
,,Japan,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F55Japanese,1,1,1,1,1,1,,,,,,,,
62,In which time zone is Rome?,UTC+01:00,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2FVW_QID_62,1,1,1,1,1,1,1,1,1,,,,,
,,UTC+1,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F62-rome-timezone,1,1,1,1,1,1,,,,,,,,
,,UTC+01:00,https://wikidata.metaphacts.com/resource/wd:Q220,1,1,1,1,1,1,,,,,,,,
,,UTC+01:00,https://wikidata.metaphacts.com/resource/wd:Q220,1,1,1,1,1,1,,,,,,,,
38,Show me all books in Asimov's Foundation series.,see link,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2FVW_QID_38,10,10,10,1,1,1,1,1,1,,,,,
,,10 books,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F38-asomov%27s-foundation,10,10,10,1,1,1,,,,,,,,
,,"Foundation, Prelude to Foundation
 
 Foundation and Empire
 
 Second Foundation
 
 Foundation's Edge
 
 Forward the Foundation
 
 Foundation and Earth",https://wikidata.metaphacts.com/resource/wd:Q1564644,10,10,10,1,1,1,,,,,,,,
,,"Prelude to Foundation, Forward the Foundation etc.",https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F38Asimov,10,10,10,1,1,1,,,,,,,,
75,How did Michael Jackson die?,Combined Drug Intoxication,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F75_jacksonDeath,1,1,1,1,1,1,1,1,1,,,,,
,,Combined drug intoxication,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F75causeofdeath,1,1,1,1,1,1,,,,,,,,
,,combined drug intoxication,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F75,1,1,1,1,1,1,,,,,,,,
,,combined drug intoxication,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F75_MichaelJackson,1,1,1,1,1,1,,,,,,,,
93,Who was Vincent van Gogh inspired by?,"Anton Mauve, Jean-François Millet",https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F93_IRA,2,2,2,1,1,1,0.375,0.5,0.4166666667,,,,,
,,Gordon Bennett,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F93inspiredby,0,2,1,0,0,0,,,,,,,,
,,Outsider,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F93_VincentVanGogh,0,2,1,0,0,0,,,,,,,,
,,"Franz Mark, Theo van Doesburg",https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2FVVG,2,2,4,0.5,1,0.6666666667,,,,,,,,
88,Who is the son of Sonny and Cher?,Chaz Bono,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F88sonnycher,1,1,1,1,1,1,1,1,1,,,,,
,,Chaz Bono,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F88_AIR,1,1,1,1,1,1,,,,,,,,
,,Chaz Bono,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F88_SonnyCherSon,1,1,1,1,1,1,,,,,,,,
,,Chaz Bono,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2FSon,1,1,1,1,1,1,,,,,,,,
43,Who is the mayor of Paris?,?,,0,1,0,0,0,0,0.75,0.75,0.75,,,,,
,,Anne Hidalgo,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F43_AIR,1,1,1,1,1,1,,,,,,,,
,,Anne Hidalgo,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F43_MayorParis,1,1,1,1,1,1,,,,,,,,
,,Anne Hidalgo,https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2FParis,1,1,1,1,1,1,,,,,,,,
96,What languages do they speak in Pakistan?,"Urdu, English",https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2Fpakistan,2,2,2,1,1,1,1,1,1,,,,,
,,"English, Urdu",https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F96_PakistanLanguages,2,2,2,1,1,1,,,,,,,,
,,"Urdu, English",https://wikidata.metaphacts.com/resource/?uri=http%3A%2F%2Fwikidata.metaphacts.com%2Fcontainer%2FontodiaDiagramContainer%2F96_AIR,2,2,2,1,1,1,,,,,,,,
